,Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year
502,633,102664,US,"Rustic, dark and deeply tannic, this wine is sourced from the Oak Knoll District of the Napa Valley, known for relatively cooler-climate varieties, though not necessarily Pinot Noir. It dances in dark plum and leather, finishing short.",Rodgers Vineyard,84,35,California,Napa Valley,Napa,Virginie Boone,@vboone,Cenay 2011 Rodgers Vineyard Pinot Noir,Pinot Noir,Cenay,"https://www.wine-searcher.com/images/labels/28/15/10432815.jpg?width=260&height=260&fit=bounds&canvas=260,260","['oak', 'leather', 'plum']",red,2011
503,634,44096,US,"Cola-like in flavor, with earthier notes of tobacco and leather. Drinks pretty lean, and the tannins are strong. Finshes with a bitterness of acids and tannins.",,84,20,California,Central Coast,Central Coast,,,Savannah-Chanelle 2001 Pinot Noir,Pinot Noir,Savannah-Chanelle,https://cdn.ct-static.com/labels/1898b46a-b8d3-4010-8b80-bf3f9e62a54a.jpg,"['earth', 'leather']",red,2001
504,635,5864,US,"From coastal hills near Jenner, this is true Sonoma Coast fruit, and it shows in its cool-climate embrace of red fruit and white pepper. Leather saddle marks the personality of the texture and soft acidity keeps it full-bodied and relatively dense.",Coryelle Fields Vineyard,88,27,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Tin Barn 2013 Coryelle Fields Vineyard Syrah,Syrah,Tin Barn,x-raw-image:///c689cfbf06d9e66d2307b2d52ad568d4dea16c108e0d4cf7db90cc3bfbd9c581,"['fruit', 'pepper', 'leather']",red,2013
505,636,61036,US,"Fans of fruity Pinot Noirs will love this one, with its sweet raspberry and cherry jam flavors. Beyond that, there's not much going on. It's silky in texture, with a boost of acidity.",,84,20,California,Napa Valley,Napa,,,Ramspeck 2010 Pinot Noir,Pinot Noir,Ramspeck,http://villagewinemerchant.com/cdn/shop/products/ramspeckpinotnoir_1200x1200.jpg?v=1682383899,"['fruit', 'berry', 'cherry']",red,2010
506,637,28043,US,"This 75-case production of Pinot Noir explodes with flavors of cherries, cola, pomegranates, persimmons, exotic spices and toasty oak. Fine acidity reins all the flavor in, leading to a dry, refined finish. The wine is sourced from grapes in the southern Santa Lucia Mountains. Drink now–2028.",Barrel Select,90,58,California,San Luis Obispo County,Central Coast,,,Asuncion Ridge 2010 Barrel Select Pinot Noir,Pinot Noir,Asuncion Ridge,https://www.princeofpinot.com/media/images/11_07/11_07-1.jpg,"['oak', 'spice']",red,2010
507,638,50433,Italy,"Apple, citrus and yellow floral aromas are what hits the nose first. Them they carry over to the simple, zesty palate along with green pear and a note of bitter nut. Bracing acidity generates a clean finish.",,86,13,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Ca'Ronesca 2014 Pinot Grigio,Pinot Grigio,Ca'Ronesca,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/187313_refDetail-0.jpg","['citrus', 'apple', 'pear', 'nut', 'floral']",white,2014
508,640,50392,US,"Somewhere between off-dry and sweet, this Riesling features orange, tropical fruit and honey flavors, with a refreshing cut of acidity. It saw no oak.",,86,13,California,Santa Ynez Valley,Central Coast,,,Gainey 2010 Riesling,Riesling,Gainey,https://cdn11.bigcommerce.com/s-hw4h0s3mr6/images/stencil/1280x1280/products/251253/18452/j483tz7lwbntywxptsvq__94258.1687979993.jpg?c=1,"['fruit', 'tropical', 'oak', 'honey', 'orange']",white,2010
509,641,120050,France,"Black fruits dominate this rich wine. While it has tannins, they are soft and dusty, already well integrated into the fruitiness and generous texture. It's full in the mouth, delicious and ripe. Drink from 2015.",Tradition,89,15,Southwest France,Cahors,,Roger Voss,@vossroger,Domaine de Cause 2011 Tradition Malbec,Malbec,Domaine de Cause,https://images.vivino.com/thumbs/Uk39seJsQ3-zWJiOpJNtkg_pb_x600.png,['fruit'],red,2011
510,642,107380,Argentina,"Leafy tomato, dried cherry and baked plum aromas cover most ends of the Pinot spectrum. This feels round, ripe and a touch tannic, while oaky flavors of vanilla and chocolate dominate, ending with more than a dash of wood spice.",Primogénito,88,22,Other,Patagonia,,Michael Schachner,@wineschach,Bodega Patritti 2012 Primogénito Pinot Noir,Pinot Noir,Bodega Patritti,"https://www.wine-searcher.com/images/labels/45/93/10694593.jpg?width=260&height=260&fit=bounds&canvas=260,260","['cherry', 'chocolate', 'vanilla', 'oak', 'spice', 'plum']",red,2012
511,643,10299,US,"High on the deliciousness-factor, this shows soft, seemingly sweet flavors of raspberry, cinnamon, smoky butter, sugar cookie and vanilla. It's a little one-dimensional, but that dimension is a nice one. Drink now.",,88,25,California,Dry Creek Valley,Sonoma,,,Artezin 2010 Zinfandel,Zinfandel,Artezin,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/120104.jpg","['berry', 'vanilla', 'butter']",red,2010
512,644,105237,Germany,"Whiffs of sweet pastry and sun-kissed nectarines lend richness to this zesty, off-dry Riesling. Sweet and tart, it's lip smackingly juicy, finishing on a deliciously astringent lemon pith note. Drink now through 2017.",Haus Klosterberg Feinherb,90,20,Mosel,,,Anna Lee C. Iijima,,Markus Molitor 2012 Haus Klosterberg Feinherb Riesling,Riesling,Markus Molitor,https://sw-5a7a.kxcdn.com/media/20/5d/ba/1660513030/2012442-markus-molitor-riesling-haus-klosterberg-feinherb_6421.jpg,"['lemon', 'lemon']",white,2012
513,645,111660,Italy,"This opens with aromas of blue flower, ripe woodland berry and a whiff of pressed powder. The robust palate doles out juicy black cherry, mature plum, licorice and savory herb alongside firm, velvety tannins. It's concentrated and already accessible but will offer drinking pleasure for the next several years. Drink through 2021.",Asinone,92,60,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Poliziano 2011 Asinone,Red Blend,Poliziano,https://cdn.ct-static.com/labels/68f51808-06d9-4809-b442-a7b63afbb27e.jpg,"['berry', 'cherry', 'herb', 'plum']",red,2011
514,646,74925,US,"Here's a full-bodied, lusty Zin. With a rustically tannic structure and ripe, almost overripe flavors of blackberry and cherry jam and black pepper, it's a natural for a peppery flank steak.",Mountain Selection,85,20,California,Amador County,Sierra Foothills,,,Scott Harvey 2005 Mountain Selection Zinfandel,Zinfandel,Scott Harvey,https://www.plummarket.com/store/pub/media/catalog/product/cache/49722c31a15eff463262c631eda6cffe/2/0/2019_scott_harvey_mountain_selection_barbera_amador_county.jpg,"['berry', 'cherry', 'pepper']",red,2005
515,647,96191,Argentina,"Aromas of briny citrus and resiny oak don't blend together well. In the mouth, this oaky Viognier is grabby and resiny, with bitter green-fruit flavors. The finish is pithy with hard green notes.",Reserve,83,17,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Finca Sophenia 2012 Reserve Viognier,Viognier,Finca Sophenia,https://www.mrdwine.com/cdn/shop/products/FincaSopheniaReserveViognier_2012_grande.png?v=1664788229,"['fruit', 'citrus', 'oak']",white,2012
516,648,128252,US,"Penguin Bay has managed to coax some fruit out of the reticent Pinot Grigio grape: this example has nice pineapple and melon tones upfront. It's less impressive in the mouth, with significant residual sugar and a short, watery finish. Drink up.",,81,16,New York,Finger Lakes,Finger Lakes,,,Penguin Bay 2008 Pinot Grigio,Pinot Grigio,Penguin Bay,"https://www.wine-searcher.com/images/labels/43/48/10224348.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'apple']",white,2008
517,649,34418,Australia,"This pale copper rosé blends 71% Shiraz with 16% Cabernet Sauvignon and 13% Sangiovese. Melon, stone fruit and citrus notes feature on the broad palate that comes into crisp focus on the long, mouthwatering finish. Drink now.",,89,22,Victoria,Bendigo,,Joe Czerwinski,@JoeCz,Fairbank Sutton Grange 2016 Rosé,Rosé,Fairbank Sutton Grange,https://img.delicious.com.au/NtdUPDdr/del/2021/03/6-148440-2.jpg,"['fruit', 'citrus']",rosé,2016
518,650,98775,US,"Offers a blast of blackberries, black cherries, plums, mulberries and all kinds of other stone fruits and berries, in a dry wine structured with fine tannins. Drink this full-bodied wine with steak.",,87,38,California,Lake County,,,,Zina Hyde Cunningham 2006 Malbec,Malbec,Zina Hyde Cunningham,http://www.wernickestudio.net/images/large/zina_email2.jpg,"['fruit', 'plum']",red,2006
519,652,91227,US,"There's an inkling of floral character on the nose of this otherwise robust, brooding and brawny vineyard-designate. It's overwhelmed by grippy tannins and a bitterness akin to tobacco. Along the way dark cherry and forest earth make an appearance—particularly pine and a whiff of tar.",Hirsch Vineyard,85,65,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,FEL 2013 Hirsch Vineyard Pinot Noir,Pinot Noir,FEL,https://cdn.ct-static.com/labels/3016382e-b00c-4a5b-b73a-383be4ff63c4.jpg,"['pear', 'cherry', 'floral', 'earth']",red,2013
520,654,59346,France,"With some richness, red fruits over wood and a full-bodied structure, this is a solid, dense wine. Acidity is present, while the ripe juicy fruits more than balance it. The tannins offer a firm structure and suggest aging.",Servoisine Premier Cru,90,34,Burgundy,Givry,,Roger Voss,@vossroger,Domaine de la Ferté 2008 Servoisine Premier Cru,Pinot Noir,Domaine de la Ferté,"https://www.wine-searcher.com/images/labels/58/06/10555806.jpg?width=260&height=260&fit=bounds&canvas=260,260",['fruit'],red,2008
521,655,24971,US,"Barrel-fermented and aged briefly in 20% new French oak, this wine offers a whiff of barrel reduction before revealing a well-defined profile of lemon and stone fruit. From vineyards in both Dry Creek and Sonoma valleys, it wears its oak well, finishing crisp and salty.",,90,22,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Enkidu 2016 Sauvignon Blanc,Sauvignon Blanc,Enkidu,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/xrkdjsbuh5bbieksdxo3.jpg","['fruit', 'lemon', 'oak', 'lemon']",white,2016
522,658,7834,US,"Add this new winery to the growing list of Walla Walla-based boutiques. The Syrah is plump and juicy, a round, fruity red wine that is perfectly enjoyable. —P.G.",,87,25,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Sariah Cellars 2000 Syrah,Syrah,Sariah Cellars,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100063483402823,"['fruit', 'plum']",red,2000
523,659,115108,US,"A lovely off-dry Riesling that's crisply elegant. This is the kind of wine that shows why Riesling is experiencing an uptick. With apricot, citrus, vanilla and honeysuckle flavors, it's a great wine to drink with slightly sweet, spicy foods like Vietnamese, Thai, Burmese or Middle Eastern.",,88,9,California,California,California Other,,,Snap Dragon 2010 Riesling,Riesling,Snap Dragon,https://cdn.ct-static.com/labels/73f241fa-8138-43bc-8b18-05c0d68cbd2d.jpg,"['citrus', 'vanilla', 'honey']",white,2010
524,661,77884,Portugal,"Soft and fruity, this is a wine that is ready to drink. Red fruits and soft tannins are lifted by perfumed fruits that are forward and immediately attractive.",Serradayres Colheita Seleccionada,85,6,Tejo,,,Roger Voss,@vossroger,Caves Velhas 2015 Serradayres Colheita Seleccionada Red,Portuguese Red,Caves Velhas,https://www.portugalvineyards.com/94152-home_default/serradayres-reserve-red-2015.jpg,['fruit'],red,2015
525,662,48712,US,"The fermentation with the stems intact brings some earthy qualities front and center, to good effect. This is the most distinctive entry among the winery's eight Pinots, further enhanced by the use of wild yeasts. Scents of clover and hints of watercress and bark highlight the flavors of beetroot and brambly berry fruit. You will have fun playing this against a variety of potential food matchups.",Whole Cluster Cuvée,91,85,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Archery Summit 2012 Whole Cluster Cuvée Pinot Noir,Pinot Noir,Archery Summit,http://static1.squarespace.com/static/5d3f301385b34400016602e8/5edffebd5875a7412dee1cf2/62bb738d6d685306ae3c2bff/1681763143052/IMG_E7338.JPG?format=1500w,"['fruit', 'berry', 'earth']",red,2012
526,663,103240,US,"Coming from the Horse Heaven Hills region, this wine offers appealing aromas of cranberry, raspberry fruit leather, red currant and spice—all displaying a fine sense of purity. The tart fruit flavors are broad and generous but stay in balance.",Alder Ridge Vineyard,91,24,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Angel Vine 2012 Alder Ridge Vineyard Zinfandel ),Zinfandel,Angel Vine,https://greatnorthwestwine.com/wp-content/uploads/2015/11/angel-vine-the-hellion-2012-label.jpg,"['fruit', 'berry', 'spice', 'leather']",red,2012
527,664,82448,Spain,"Aromas of savory leather, wood and baked berry fruits lead to a fresh, well-built palate with fine tannins and integrated but potent acidity. Toasty, blackened plum and berry flavors finish with a coating of oak flavor as well as coffee and chocolate notes. Drink through 2028.",Reserva,92,65,Northern Spain,Rioja,,Michael Schachner,@wineschach,Consejo de la Alta 2010 Reserva,Tempranillo Blend,Consejo de la Alta,https://cdn.ct-static.com/labels/3037b16a-39d6-4b4c-a133-4c0b32358dfa.jpg,"['fruit', 'berry', 'chocolate', 'oak', 'leather', 'coffee', 'plum']",red,2010
528,665,30634,South Africa,"Faint suggestions of sweet smoke and beeswax mingle with the red apple and melon flavors, adding interest to this otherwise straightforward and easy drinking wine. Drink now.",Kosher,84,13,Paarl,,,Lauren Buzzeo,@laurbuzz,Backsberg 2010 Kosher Chardonnay,Chardonnay,Backsberg,https://dsi2vjvztwiuk.cloudfront.net/website/products/49270/front/372821/square.png,"['apple', 'smoke']",white,2010
529,666,14784,US,"Peppery and meaty, this 100% varietal wine is sourced from select estates around the valley. With lively acidity beneath its rich, ripe blackberry and cassis flavors, it shows sturdy tannin and a mild finish.",,91,65,California,Napa Valley,Napa,Virginie Boone,@vboone,Janzen 2014 Cabernet Sauvignon,Cabernet Sauvignon,Janzen,https://s3.amazonaws.com/thewinespies-production/uploads/product/image/5415-6ba184bd7895d9d4d4cd7150e1537d508353d217/tall_product_photo.jpg,"['berry', 'pepper']",red,2014
530,667,16831,New Zealand,"The smell of canned mushy peas pours out of the glass and just won't release its iron-handed grip. That same intense vegetal character is present at all other points as well, from the thick palate to the murky finish. It doesn't have much going for it, but at least it's consistent.","Brancott Estate (""B"")",83,30,Marlborough,,,,,Brancott 2000 Brancott Estate  Sauvignon Blanc,Sauvignon Blanc,Brancott,"https://www.wine-searcher.com/images/labels/01/49/11620149.jpg?width=260&height=260&fit=bounds&canvas=260,260",[],white,2000
531,668,80484,US,"This fairly bursts with a luscious mix of tropical fruits. Pineapple, guava, starfruit, kiwi and more occupy center stage, leading into a creamy finish with suggestions of banana cream pie.",,90,23,Oregon,Southern Oregon,Southern Oregon,Paul Gregutt,@paulgwine ,Season 2013 Viognier,Viognier,Season,https://buywinenow.com/wp-content/uploads/2023/08/Rotie-Cellars-Northern-Blend-2021-770x1024.png,"['fruit', 'apple', 'tropical']",white,2013
532,669,105825,South Africa,This easy and straightforward white boasts pleasant notes of fresh apple and lemon-lime citrus throughout. The palate is lush but braced with medium acidity that lingers into the close. Enjoy it now.,,87,15,Elgin,,,Lauren Buzzeo,@laurbuzz,Paul Cluver 2009 Riesling,Riesling,Paul Cluver,https://www.wineanorak.com/southafrica/IMGP9165-1.JPG,"['citrus', 'apple', 'lemon', 'lime', 'lemon']",white,2009
533,670,106822,US,"The lilac, charcuterie, peat, smoke and black and green-olive aromas are tightly wound. The palate is focused, flavorful and energetic, showing depth and intensity while remaining quite light on its feet.",Armada Vineyard,94,95,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cayuse 2013 Armada Vineyard Syrah ),Syrah,Cayuse,https://cdn.ct-static.com/labels/72f47693-e58d-4898-83ca-2809ec59addd.jpg,['smoke'],red,2013
534,671,80371,US,"This Cab doesn't pretend to be anything but what it is: dry, full-bodied and characteristically Cabernet. Grab a burger or beef taco and enjoy.",,84,8,California,California,California Other,,,Round Hill 2011 Cabernet Sauvignon,Cabernet Sauvignon,Round Hill,https://uploads.winewarrior.hk/wp-content/uploads/2021/04/02111741/Red-Blend-New-Bottle-Shot-min.jpg,[],red,2011
535,673,74127,US,"A lighter Ursa than recent vintages, the 2009 is a young purple-violet color, with grapy aromas and a broad, fruity palate. Hints of roasted nuts express barrel aging, and the wine has good grip, though the fruit flavors at this stage are still primary. Give this one some further bottle age to smooth out.",Ursa,90,39,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Baer 2009 Ursa Red ),Red Blend,Baer,https://images.squarespace-cdn.com/content/v1/5535bddae4b0a7f8545909c5/a4eae1d1-ce29-4554-ab80-e35280a6f75d/Baer+July+2023.jpeg,"['fruit', 'nut']",red,2009
536,674,5173,US,"Anywhere but in Oregon, this could be labeled Pinot Noir, which makes up 80% of the blend; the rest is Zinfandel. It's a combination that makes sense in the Columbia Gorge. The Pinot is more earthy and tannic than in the Willamette Valley, and the Zin lighter than you find in California. The result is a wine tasting of wild cherries, tart, spicy and quite quaffable.",Necessity Red,87,24,Oregon,Columbia Valley (OR),Oregon Other,Paul Gregutt,@paulgwine ,Cathedral Ridge 2008 Necessity Red Red ),Red Blend,Cathedral Ridge,https://savornw.com/images/articles/CathedralRidge2019CabSauv.jpg,['earth'],red,2008
537,675,39455,France,"The 2008 Cornas from Colombo have turned out very nicely, led by this effort. Scents of cracked pepper, bold blackberries and a hint of coffee presage a big-fruited wine, but one with ample complexity of savory notes. It's full bodied and richly textured, with a long, chewy finish. Drink 2015–2025.",La Louvée Syrah,93,84,Rhône Valley,Cornas,,Joe Czerwinski,@JoeCz,Jean-Luc Colombo 2008 La Louvée Syrah,Syrah,Jean-Luc Colombo,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/127460_73be_oct11_2863.jpg,"['fruit', 'pepper', 'coffee']",red,2008
538,676,128444,France,"A lovely purity of lemon oil and zest pervades both nose and palate of this straight-laced wine. There is purity and freshness, precision and tons of zesty tangy lemon. This finds its counterpoint in a lovely texture of stone and chalk. Later, ripe apple notes make an aromatic experience and stay on the dry palate all the way through the long lemony finish. Drink now through 2030.",Brand Grand Cru Clos de la Treille,94,32,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,François Baur 2015 Brand Grand Cru Clos de la Treille Riesling,Riesling,François Baur,https://vertdevin.com/wp-content/uploads/2018/03/vertdevin-Franc%CC%A7ois-Baur-%E2%80%93-Clos-de-la-Treille-%E2%80%93-Riesling-2015-%E2%80%93-Brand-Grand-Cru-Alsace.jpg,"['apple', 'lemon', 'lemon']",white,2015
539,677,43384,Spain,"Straightforward Tempranillo aromas and flavors mark this light red. The dry berry-cherry fruit is offset by smoke, leather and rosemary notes. It's slightly and typically on the astringent side, but turns a bit raspy on the modest finish. —M.M.",Antaño,83,7,Northern Spain,Rioja,,,,J. Garcia Carrion 2000 Antaño,Tempranillo,J. Garcia Carrion,"https://www.wine-searcher.com/images/labels/86/85/11728685.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'berry', 'cherry', 'smoke', 'leather']",red,2000
540,678,127955,US,"Soft, simple and rather sweet, like a chewy candy bar of cherries, currants, cocoa and crunchy granola. High alcohol makes it a little hot and unbalanced, but it will stand up well beside a fabulous cheeseburger.",Old Vine,84,26,California,Shenandoah Valley (CA),Sierra Foothills,,,Villa Toscano 2006 Old Vine Zinfandel ),Zinfandel,Villa Toscano,https://www.villatoscano.com/assets/images/products/thumbnails/NewVTBottlesWebsiteEcomFiltered4.jpg,['cocoa'],red,2006
541,679,92372,Chile,"Mild flowery aromas suggest lilac and bath soap. This feels plump and chunky, with no distinct center point. Salty, yeasty but bland flavors lead to an oily feeling finish with early onset oxidation.",Reserva,84,13,Curicó Valley,,,Michael Schachner,@wineschach,Espiritu de Chile 2015 Reserva Chardonnay,Chardonnay,Espiritu de Chile,https://www.wineenthusiast.com/wp-content/uploads/2024/09/09_24_Chardonnay_vs_Sauvignon_Blanc_HERO_GettyImages-139471152_1127377974_1920x1280.jpg,['plum'],white,2015
542,680,84840,US,"Grape-jam aromas and ripe, sweet flavors make this wine attractive in its easygoing, accessible style. For a deep, dark red, it has a surprisingly soft, velvety texture and a mild amount of sugar.",,86,14,California,California,California Other,Jim Gordon,@gordone_cellars,Apothic 2015 Red,Red Blend,Apothic,https://www.triphammerwines.com/cdn/shop/products/apothic-red_664x800.jpg?v=1591981395,[],red,2015
543,682,50269,US,"Richness makes this wine exceptional, while it still keeps its varietal personality. Aromas are grapy, almost jammy, then the flavors are quite fruity and berrylike, accented by mineral and chocolate notes. A finely tannic texture braces everything for an appetizing mouthfeel.",Estate Grown,91,24,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Naggiar 2013 Estate Grown Sangiovese,Sangiovese,Naggiar,x-raw-image:///977d5d181b2ec2a9229848fedd6cde80d28fb49627f46bb24f1b5040443b6832,"['fruit', 'berry', 'chocolate', 'mineral']",red,2013
544,683,43010,US,This powerful wine is sourced from 100-year-old vines in the famous Deaver vineyard. There's a touch of pepper behind the thick tannins and oak. It's a long lasting wine with leathery blackberry fruit that should come to the fore over time.,Deaver Vineyard,88,30,California,Amador County,Sierra Foothills,Virginie Boone,@vboone,Terra d'Oro 2011 Deaver Vineyard Zinfandel,Zinfandel,Terra d'Oro,https://marvel-b1-cdn.bc0a.com/f00000000246670/images.commerce7.com/terra-d-oro/images/medium/tdo-deaver-zinfandel-nv-1658852804290.png,"['fruit', 'berry', 'oak', 'pepper', 'leather']",red,2011
545,684,112686,Germany,"A terrific auslese, sweet but balanced near perfectly by lime-like acids. It's stony yet honeyed, concentrated yet somehow light on its feet. Then it's bright, fresh and full of juicy citrus fruit on the finish.",Ürziger Würzgarten Auslese,94,64,Mosel,,,Joe Czerwinski,@JoeCz,Dr. Loosen 2009 Ürziger Würzgarten Auslese Riesling,Riesling,Dr. Loosen,https://cdn.shopify.com/s/files/1/0044/7165/2425/files/LoosenUWAus.png?v=1700366380,"['fruit', 'citrus', 'lime', 'honey']",white,2009
546,685,92733,France,"Old vines lend a fine structure and density to this wine. It's not for longterm aging, with its ripe red plum fruit and generous texture, but is delicious now. Drink from early 2018.",Vieilles Vignes,88,30,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2015 Vieilles Vignes,Pinot Noir,Domaine Jeannin-Naltet,https://www.oakandbarrelnyc.com/wp-content/uploads/2015/06/IMG_3207.jpg,"['fruit', 'plum']",red,2015
547,686,32468,Italy,"A blend of Nebbiolo, Vespolina and Croatina, this opens with aromas of aromatic herb, wild berry, menthol and a floral note. The firm, vibrant palate offers tar, sour cherry, licorice and white pepper alongside youthfully austere, fine-grained tannins. This needs time to soften up and fully develop. Drink 2019–2027.",,90,55,Piedmont,Bramaterra,,Kerin O’Keefe,@kerinokeefe,Le Pianelle 2012  Bramaterra,Red Blend,Le Pianelle,https://cdn.ct-static.com/labels/32626b7f-6deb-49dd-bf81-b68b8b84a1c5.jpg,"['berry', 'cherry', 'pepper', 'herb', 'floral']",red,2012
548,687,58058,New Zealand,"This is a muscular wine. Intensely colored and redolent of superripe fruit, it nevertheless remains firm and structured from start to long, dusty finish. It's almost grapy in its intensity, but also hints at coffee and cocoa along the way. Drink it now if you like your Pinots big and bold, or hold it through 2020.",Bannockburn,91,60,Central Otago,,,Joe Czerwinski,@JoeCz,Etude 2013 Bannockburn Pinot Noir,Pinot Noir,Etude,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/213361_05be_july15_3550.jpg,"['fruit', 'coffee', 'cocoa']",red,2013
549,688,8932,Australia,"Dark and rich, with aromas of cola and coffee and flavors of plum and cola. This is full-bodied, its 14.5% alcohol balanced by fruit intensity and richly textured tannins and the long finish. Drink 2010–2020.",D Block Reserve,91,50,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Shingleback 2005 D Block Reserve Shiraz,Shiraz,Shingleback,"https://www.wine-searcher.com/images/labels/50/13/10355013.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'coffee', 'plum']",red,2005
550,689,73575,Greece,"This Cabernet-Agiorgitiko blend has a big personality, starting with aromas of chocolate-covered cherry, rich black fruit and pepper. Red and black fruit, spice and a touch of flowers on the palate are buoyed by a fresh acidity and chalkiness on the palate. A touch spicy and fiery, but a fun wine with character.",Oenotria Land Cabernet Sauvignon Agiorgitiko,85,30,Attica,,,Susan Kostrzewa,@suskostrzewa,Domaine Costa Lazaridi 2007 Oenotria Land Cabernet Sauvignon Agiorgitiko Red,Cabernet Blend,Domaine Costa Lazaridi,"https://www.wine-searcher.com/images/labels/18/28/11071828.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'cherry', 'chocolate', 'spice', 'pepper']",red,2007
551,690,116046,France,"Beautifully crisp and light, this is an ebullient wine that is full of lively red currant and tangerine fruits. There is attractive acidity, a bright aftertaste and plenty of acidity. Drink now.",,88,12,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château de Marsan 2016 Rosé,Rosé,Château de Marsan,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/347340_171BE_OCT20.jpg,['fruit'],rosé,2016
552,691,63626,US,"In 2012, Balletto had its Pinots undergo natural fermentations, with beguiling results. This vintage of Burnside Road, always a standout bottling, delivers stemmy, herbal, toasty aromas around a layering of warm strawberry fruit and gorgeous earthiness. Soft, silky and seductive, it lingers on the tongue, imprinting on the pleasure centers of the brain.",Burnside Road Vineyard Estate Grown and Bottled,93,42,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Balletto 2012 Burnside Road Vineyard Estate Grown and Bottled Pinot Noir,Pinot Noir,Balletto,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/194524_90BE_SEPT14_3450.jpg,"['fruit', 'berry', 'herb', 'earth']",red,2012
553,692,30983,Argentina,"There's a sweet center to the bouquet, but surrounding it are more complex notes of mushroom, rubber and roast meat. The palate features ripe, clean blackberry and cassis flavors, while the finish shows piercing tannins. Shows some weight and tannic build-up at this point; drink now and into '09.",,87,11,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Chakana 2006 Cabernet Sauvignon,Cabernet Sauvignon,Chakana,https://www.timelesswines.com/images/chakana_estate_cabernet_sauvignon_nv_hq_label.jpg,['berry'],red,2006
554,694,98990,France,"The little touch of wood aging (three months) is just enough to round out the Chardonnay. At the same time, it does show freshness and apple flavors, with an attractive floral character. It is soft and finally ripe.",,88,14,Southwest France,Vin de Pays des Côtes de Gascogne,,Roger Voss,@vossroger,Domaine du Tariquet 2008 Chardonnay,Chardonnay,Domaine du Tariquet,https://images.vivino.com/labels/TXRzpxFoTsigkidjY9YRGA.jpg,"['apple', 'floral']",white,2008
555,696,52425,Italy,"This opens with aromas of mature black-skinned berry, leather, menthol and dark spice. The palate seems a bit older than it is, offering raisin, bitter prune and star anise alongside close-grained but not very persistent tannins.",,87,35,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Cantina Valpolicella Negrar 2013  Amarone della Valpolicella Classico,Red Blend,Cantina Valpolicella Negrar,https://images.vivino.com/thumbs/yoeyyxdVTOaV53URmC0V9A_pb_600x600.png,"['berry', 'spice', 'leather', 'prune']",red,2013
556,698,89266,Italy,"This focused, full-bodied wine opens with aromas of scorched earth, ripe black-skinned fruit and a whiff of game. The tight palate is still rather closed but already offers dense black cherry, clove, licorice and grilled herb alongside firm, fine-grained tannins. Drink 2021–2031.",Serra,93,95,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giovanni Rosso 2011 Serra,Nebbiolo,Giovanni Rosso,"https://www.wine-searcher.com/images/labels/25/71/11642571.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'cherry', 'herb', 'earth']",red,2011
